,duration_ms,year,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
204,208600,2001,72,0.558,0.719,2,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027
205,224066,2001,64,0.616,0.597,8,-5.328,0.0415,0.691,0.0,0.104,0.362,165.508
206,302720,2001,27,0.729,0.731,4,-4.822,0.0684,0.232,1.57e-06,0.391,0.839,138.202
207,226440,2002,58,0.701,0.677,11,-6.591,0.147,0.0737,0.000162,0.187,0.367,99.271
208,324306,2002,68,0.648,0.759,6,-4.315,0.306,0.0142,0.0,0.648,0.518,85.996
209,297786,2002,85,0.548,0.847,1,-3.237,0.186,0.0622,0.0,0.0816,0.1,171.447
210,285586,2004,69,0.713,0.471,1,-7.392,0.483,0.421,0.0,0.0308,0.779,199.764
211,222546,2001,60,0.955,0.839,3,-3.399,0.127,0.0934,0.000175,0.099,0.825,108.955
212,276360,2003,53,0.792,0.797,0,-5.166,0.0901,0.062,0.00325,0.0896,0.491,123.993
213,172240,2002,53,0.718,0.69,10,-4.382,0.265,0.106,0.0,0.271,0.774,93.401
214,244466,2019,40,0.583,0.643,9,-7.486,0.355,0.171,0.0,0.0395,0.7,195.685
215,216880,2000,83,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
216,213973,2002,66,0.607,0.923,1,-6.777,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819
217,275026,2019,0,0.641,0.72,5,-5.209,0.0336,0.0688,0.00286,0.193,0.418,92.988
218,204400,2002,54,0.705,0.717,4,-4.944,0.125,0.00369,0.461,0.0701,0.554,97.036
219,236426,2002,59,0.74,0.845,6,-3.802,0.0338,0.00287,6.23e-06,0.115,0.749,126.607
220,200426,2003,60,0.622,0.876,8,-7.779,0.0728,0.00107,1.83e-06,0.292,0.537,142.017
221,253200,2002,43,0.686,0.698,5,-2.942,0.223,0.263,0.0,0.39,0.748,93.118
222,200480,2003,66,0.427,0.843,4,-4.54,0.0364,0.00216,0.0,0.179,0.304,147.387
223,198600,2001,61,0.682,0.894,0,-1.73,0.0727,0.0381,0.0,0.416,0.845,95.992
224,234116,2013,46,0.527,0.933,6,-6.277,0.0382,0.00112,0.0362,0.425,0.493,144.043
225,289373,2001,49,0.969,0.701,1,-7.503,0.156,0.14,0.00161,0.201,0.905,121.392
226,230346,2002,42,0.646,0.638,11,-5.803,0.0787,0.0556,0.0014,0.182,0.74,86.994
227,248933,2002,52,0.611,0.654,10,-4.823,0.139,0.372,0.00432,0.0926,0.609,105.922
228,207186,2002,60,0.683,0.722,8,-4.039,0.0358,0.0243,4.2e-05,0.35,0.854,95.012
229,238600,2001,55,0.697,0.793,6,-4.699,0.323,0.0844,0.0,0.0619,0.56,89.767
230,259773,2001,59,0.574,0.691,6,-5.103,0.035,0.0826,1.65e-05,0.149,0.195,91.969
231,208449,2013,47,0.486,0.904,2,-6.642,0.0364,0.000748,0.0984,0.187,0.118,143.048
232,239266,2002,58,0.723,0.84,1,-3.523,0.0608,0.0619,0.0,0.0945,0.827,94.332
233,272293,2002,59,0.777,0.751,1,-5.692,0.133,0.245,0.0,0.1,0.191,177.894
234,222560,2015,59,0.859,0.625,9,-4.234,0.13,0.0296,0.0,0.0537,0.71,102.072
235,237800,2002,64,0.66,0.536,10,-8.786,0.29,0.233,0.00669,0.111,0.775,159.963
236,207866,2000,55,0.761,0.662,6,-7.645,0.0548,0.292,6.19e-05,0.0956,0.631,120.043
237,228240,2002,75,0.956,0.745,11,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075
238,227866,2003,53,0.7,0.72,1,-6.061,0.0261,0.285,0.0,0.0845,0.654,106.986
239,298853,2002,68,0.64,0.889,2,-3.073,0.322,0.107,0.0,0.339,0.436,99.931
240,223293,2002,49,0.855,0.681,2,-4.955,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699
241,195866,2002,45,0.517,0.919,5,-3.451,0.0925,0.0996,1.81e-06,0.557,0.387,91.868
242,432146,2002,48,0.786,0.853,9,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99
243,267093,2001,73,0.835,0.707,8,-5.074,0.0598,0.0219,2.19e-05,0.108,0.919,93.955
244,237359,2019,43,0.786,0.614,5,-6.554,0.0574,0.00616,0.0,0.049,0.742,103.887
245,242586,2001,26,0.771,0.665,8,-3.954,0.035,0.0135,0.0123,0.0903,0.844,115.142
246,287000,2002,2,0.668,0.806,6,-3.9,0.239,0.232,0.0,0.18,0.721,95.022
247,269000,2002,80,0.618,0.938,9,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455
248,254493,2002,58,0.412,0.77,11,-6.057,0.18,0.462,1.5e-06,0.0485,0.418,101.955
249,228000,2002,59,0.778,0.761,2,-5.529,0.0525,0.141,4.61e-05,0.0441,0.923,107.288
250,267160,2001,53,0.489,0.757,11,-4.062,0.0926,0.00981,0.0,0.234,0.567,168.004
251,318213,2002,47,0.64,0.59,7,-7.442,0.32,0.252,0.0,0.665,0.519,83.133
252,238266,2001,55,0.603,0.774,3,-6.066,0.0428,0.0288,0.051,0.0533,0.48,124.994
253,264653,2002,58,0.791,0.863,3,-6.118,0.151,0.317,1.13e-06,0.27,0.742,97.035
254,233666,2003,35,0.368,0.426,10,-8.049,0.0277,0.255,5.39e-06,0.108,0.208,106.52
255,268800,2005,63,0.66,0.707,6,-5.758,0.208,0.397,0.0,0.211,0.761,89.279
256,201480,2001,45,0.783,0.726,7,-8.718,0.106,0.0903,2.53e-06,0.363,0.784,148.062
257,207040,2001,24,0.705,0.872,11,-3.557,0.125,0.0602,0.0,0.228,0.746,93.63
258,265706,2002,55,0.567,0.58,4,-5.757,0.223,0.0084,5.37e-06,0.0342,0.46,157.596
259,230013,2002,62,0.734,0.848,1,-5.285,0.0309,0.00312,1.16e-05,0.313,0.863,117.31
260,283626,2002,62,0.853,0.811,6,-4.927,0.0646,0.0439,0.000307,0.0703,0.9,114.964
261,276373,2001,32,0.412,0.667,6,-6.997,0.229,0.195,0.0,0.305,0.533,68.942
262,206466,2001,53,0.519,0.874,5,-5.122,0.034,0.0524,0.0,0.243,0.572,96.072
263,297840,2002,71,0.908,0.758,9,-4.753,0.174,0.0687,0.0,0.0783,0.87,148.015
264,262226,2002,61,0.727,0.515,2,-6.553,0.0289,0.241,3.74e-06,0.124,0.695,89.488
265,251280,2003,54,0.542,0.589,8,-6.813,0.0284,0.246,0.0,0.188,0.336,133.838
266,192533,2001,68,0.802,0.903,11,-3.267,0.046,0.0011,0.0,0.173,0.96,128.93
267,303333,2001,52,0.652,0.41,4,-8.323,0.158,0.333,0.0,0.064,0.495,75.09
